date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:52	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64ff6ad6-58be6882cd98db7a;gz%22	https://indiandryfruit.shop/robots.txt		(from )
17:43:54	139405/139405	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:13:53%20GMT	https://indiandryfruit.shop/	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/index.html	(from )
17:43:55	49608/49608	---M-Z	200	added ('OK')	text/css	etag:%22c1c8-65280d88-aca2825a9d4fc5bd;gz%22	https://indiandryfruit.shop/assets/website/css/custom.css	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/assets/website/css/custom.css	(from https://indiandryfruit.shop/)
17:43:56	158/158	---M--	200	added ('OK')	image/svg+xml	etag:%229e-65280d88-eb98dc571b812aa6;;;%22	https://indiandryfruit.shop/assets/website/images/theme/bars.svg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/assets/website/images/theme/bars.svg	(from https://indiandryfruit.shop/)
17:43:57	7091/7091	---M--	200	added ('OK')	image/png	etag:%221bb3-65280d88-d13e823fb8f712ae;;;%22	https://indiandryfruit.shop/assets/website/img/Q18Ifxk.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/assets/website/img/Q18Ifxk.png	(from https://indiandryfruit.shop/)
17:43:58	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Oct%202023%2012:13:59%20GMT	https://indiandryfruit.shop/external452e452e452e452e452e.html?link=http://www.w3.org/2000/svg	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/external452e452e452e452e452e452e.html	(from https://indiandryfruit.shop/)
17:43:59	26993/26993	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:00%20GMT	https://indiandryfruit.shop/single-category/2	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-category/2.html	(from https://indiandryfruit.shop/)
17:44:00	78824/78824	---M--	200	added ('OK')	image/png	etag:%22133e8-65280d88-16dd567b052346f0;;;%22	https://indiandryfruit.shop/upload/categories/2594230907155317.png	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/upload/categories/2594230907155317.png	(from https://indiandryfruit.shop/)
17:44:01	232870/232870	---M-Z	200	added ('OK')	text/css	etag:%2238da6-65280d88-dcd1df73f9f124bb;gz%22	https://indiandryfruit.shop/assets/website/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/assets/website/css/bootstrap.min.css	(from https://indiandryfruit.shop/)
17:44:01	48352/48352	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2012:14:02%20GMT	https://indiandryfruit.shop/single-category/7	/storage/emulated/0/HTTrack/Websites/Flipkart/indiandryfruit.shop/single-category/7.html	(from https://indiandryfruit.shop/)
